YearsExperience,EducationLevel,City,Salary
3,university,CityA,45.9
7.8,master,CityC,80.5
2.3,highschool,CityA,25.2
5.1,highschool,CityA,30.4
10,master,CityB,65.7
1.2,master,CityC,60.8
8.6,university,CityC,50.1
6.9,master,CityA,70.3
4.2,university,CityA,40.7
2.4,highschool,CityA,28.1
5.3,highschool,CityA,32
3.9,university,CityA,48.3
7.2,master,CityC,84.2
10,master,CityB,70.9
1.5,master,CityC,62.4
8.4,university,CityC,55.6
6.5,master,CityA,72.7
4.8,university,CityA,42.9
2.1,highschool,CityA,26.5
5.2,highschool,CityA,31.6
3.5,university,CityA,43.8
7.6,master,CityC,78.3
10,master,CityB,63.6
1.8,master,CityC,58
8.2,university,CityC,48.3
6.3,master,CityA,68.4
4.6,university,CityA,38.5
2.5,highschool,CityA,24.9
5,highschool,CityA,29.7
3.6,university,CityA,41.6
7.4,master,CityC,76.9
10,master,CityB,60.2
1.7,master,CityC,56.3
8,university,CityC,45.2
6.1,master,CityA,65.9
4.3,university,CityA,36.7
